283417881,5200794813,Avenida San Jer??nimo,8.138
283417881,283422406,Avenida San Jer??nimo,141.667
283417881,283417887,Avenida San Jer??nimo,10.644
283417887,4027122519,,53.561
283417887,5200794813,,12.385
283417887,1281950259,Avenida San Jer??nimo,163.599
283422405,5225033223,Calle Ernesto Loreto,14.276
283422405,4682407649,Avenida San Mart?Ąn,15.203
283422405,283422406,Avenida San Jer??nimo,75.982
283422405,5195285777,Mar?Ąa Nieves y Bustamante,141.683
283422406,4544102112,Jos?Ž Santos Chocano,157.115
283422603,1264347093,Avenida San Mart?Ąn,88.491
283422603,283423130,Ovalo Juan Manuel Polar,16.892
283422603,283423119,Ovalo Juan Manuel Polar,30.183
283423115,1252938522,Avenida Lima,79.221
283423115,1264336928,Ovalo Juan Manuel Polar,21.369
283423115,283423451,Ovalo Juan Manuel Polar,50.29
283423119,1264346964,Calle Felipe Santiago Salaverry,72.043
283423119,1264336928,Ovalo Juan Manuel Polar,22.653
283423130,283423451,Ovalo Juan Manuel Polar,40.253
283423130,1264338787,Avenida Lima,77.44
283423449,1264312487,Avenida Emmel,72.808
283423449,283423807,Avenida Emmel,70.069
283423449,283423882,Francisco Iba??ez,65.195
283423449,1264330837,Francisco Iba??ez,182.058
283423451,5203031712,Calle Felipe Santiago Salaverry,38.743
283423807,5195285779,Avenida Emmel,29.74
283423807,1292294891,Lazo de los Rios,170.304
283423807,3725076882,Lazo de los Rios,66.525
283423882,3725076882,Avenida Garcilazo de la Vega,69.445
283423882,5394450556,Avenida Garcilazo de la Vega,149.583
283424077,5375720540,Calle Benigno Ball??n Farf?ín,12.956
283424077,5375720539,Calle Benigno Ball??n Farf?ín,60.719
283424077,1253003569,Avenida Victor Andr?Žs Bela??nde,52.527
283424077,283795209,Avenida Victor Andr?Žs Bela??nde,194.213
283787906,1252919106,,61.978
283787906,1396135794,Jos?Ž Santos Chocano,68.86
283787906,4682407593,,84.047
283787906,1396135810,,137.794
283787906,4544102112,Jos?Ž Santos Chocano,163.67
283789174,1396135810,Lazo de los Rios,33.941
283789174,1264355433,,63.027
283789174,1252999279,Lazo de los Rios,36.042
283789844,283789846,Urbanizaci??n Atlas MZ D,34.625
283789844,1396135809,Gustavo Cornejo,115.917
283789844,1264339073,Gustavo Cornejo,39.494
283789846,5693791866,Urbanizaci??n Atlas MZ D,12.469
283789846,283795209,Avenida Victor Andr?Žs Bela??nde,118.421
283789846,286866810,Avenida Victor Andr?Žs Bela??nde,39.644
283795209,1396135809,Lazo de los Rios,36.406
283795209,4682408335,Lazo de los Rios,10.32
283812502,873867970,Avenida Emmel,22.979
283812502,1264292334,Calle Javier Delgado,67.498
283812502,5208947857,Avenida Emmel,26.738
283812507,10062503682,Avenida Jos?Ž Abelardo Qui??ones,10.66
283812507,283812509,Avenida Emmel,12.619
283812507,1252919040,Avenida Emmel,129.373
283812507,10062503685,Avenida Jos?Ž Abelardo Qui??ones,14.283
283812509,10062503684,Avenida Jos?Ž Abelardo Qui??ones,13.705
283812509,1264360471,Avenida Emmel,81.391
